✅ Wandb initialized successfully!
📊 Project: SmolSigLip
🏃 Run: siglip_lr0.0004_bs32_epochs30
🆔 Run ID: 7qnsy4yo
🌐 Dashboard: https://wandb.ai/rentio/SmolSigLip/runs/7qnsy4yo
🔧 Setting up custom metrics...
✅ All metrics defined successfully!
Model logged to wandb - Total params: 150,910,018, Trainable: 150,910,018
🎯 Epoch 1/30:   0%|[35m                                                                                [0m| 0/30 [00:00<?, ?epoch/s][0m

=== EPOCH 1/30 ===
🚀 Epoch 01 Training:  10%|[32m██▍                     [0m| 31/313 [00:09<01:05,  4.31it/s, Loss=4.5217, LR=1.00e-04, BS=32, Step=31][0m
🚀 Epoch 01/30 | Step 00000 | Batch 001/313 | Loss: 10.434273 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00001 | Batch 002/313 | Loss: 4.913714 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00002 | Batch 003/313 | Loss: 6.522486 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00003 | Batch 004/313 | Loss: 6.058648 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00004 | Batch 005/313 | Loss: 4.746779 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00005 | Batch 006/313 | Loss: 4.587910 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00006 | Batch 007/313 | Loss: 5.170021 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00007 | Batch 008/313 | Loss: 4.908714 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00008 | Batch 009/313 | Loss: 4.520286 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00009 | Batch 010/313 | Loss: 4.494875 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00010 | Batch 011/313 | Loss: 4.678600 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00011 | Batch 012/313 | Loss: 4.794274 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00012 | Batch 013/313 | Loss: 4.774096 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00013 | Batch 014/313 | Loss: 4.593920 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00014 | Batch 015/313 | Loss: 4.457264 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00015 | Batch 016/313 | Loss: 4.497955 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00016 | Batch 017/313 | Loss: 4.604567 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00017 | Batch 018/313 | Loss: 4.614951 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00018 | Batch 019/313 | Loss: 4.504737 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00019 | Batch 020/313 | Loss: 4.457041 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00020 | Batch 021/313 | Loss: 4.504695 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00021 | Batch 022/313 | Loss: 4.652510 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00022 | Batch 023/313 | Loss: 4.616344 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00023 | Batch 024/313 | Loss: 4.480033 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00024 | Batch 025/313 | Loss: 4.474356 | LR: 0.00010000 | BS: 32
🚀 Epoch 01/30 | Step 00025 | Batch 026/313 | Loss: 4.581148 | LR: 0.00010000 | BS: 32
